"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 00:00","2025","04","01","00:00","","2.7","","2.4","","98","","0.0","","14","","14","","","","99.95","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 01:00","2025","04","01","01:00","","5.1","","4.8","","98","","0.0","","16","","11","","","","99.90","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 02:00","2025","04","01","02:00","","7.1","","6.9","","99","","0.0","","18","","14","","","","99.87","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 03:00","2025","04","01","03:00","","6.8","","6.5","","98","","0.0","","19","","19","","","","99.81","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 04:00","2025","04","01","04:00","","7.3","","7.1","","98","","0.2","","19","","18","","","","99.73","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 05:00","2025","04","01","05:00","","7.7","","7.5","","98","","0.0","","19","","19","","","","99.65","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 06:00","2025","04","01","06:00","","6.9","","6.7","","98","","0.2","","17","","13","","","","99.63","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 07:00","2025","04","01","07:00","","7.9","","7.6","","98","","2.3","","19","","15","","","","99.62","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 08:00","2025","04","01","08:00","","3.9","","3.6","","98","","1.1","","24","","10","","","","99.48","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 09:00","2025","04","01","09:00","","2.7","","2.4","","98","","1.7","","26","","29","","","","99.59","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 10:00","2025","04","01","10:00","","1.1","","0.7","","97","","1.1","","30","","34","","","","99.63","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-04-01 11:00","2025","04","01","11:00","","1.0","","0.3","","95","","0.0","","30","","41","","","","99.63","","","","","","NA"
