"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 00:00","2025","12","01","00:00","","3.2","","0.8","","84","","0.0","","16","","30","","","","101.66","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 01:00","2025","12","01","01:00","","3.6","","2.0","","89","","0.0","","16","","30","","","","101.45","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 02:00","2025","12","01","02:00","","4.3","","3.2","","92","","1.8","","16","","29","","","","101.20","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 03:00","2025","12","01","03:00","","4.9","","3.8","","92","","0.2","","16","","28","","","","100.99","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 04:00","2025","12","01","04:00","","5.9","","5.0","","94","","0.0","","17","","23","","","","100.90","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 05:00","2025","12","01","05:00","","5.3","","4.1","","92","","1.0","","22","","25","","","","100.89","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 06:00","2025","12","01","06:00","","5.0","","3.7","","91","","0.9","","22","","16","","","","100.80","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 07:00","2025","12","01","07:00","","4.8","","3.7","","92","","0.6","","25","","29","","","","100.80","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 08:00","2025","12","01","08:00","","3.7","","2.5","","92","","0.6","","27","","27","","","","100.79","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 09:00","2025","12","01","09:00","","3.6","","2.1","","90","","0.0","","26","","31","","","","100.83","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 10:00","2025","12","01","10:00","","4.1","","1.6","","84","","0.0","","26","","30","","","","100.86","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 11:00","2025","12","01","11:00","","4.1","","1.1","","81","","0.0","","26","","38","","","","100.85","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 12:00","2025","12","01","12:00","","4.2","","0.9","","79","","0.0","","26","","40","","","","100.84","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 13:00","2025","12","01","13:00","","4.1","","0.5","","77","","0.0","","27","","41","","","","100.87","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 14:00","2025","12","01","14:00","","3.4","","-1.1","","72","","0.0","","30","","47","","","","100.96","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 15:00","2025","12","01","15:00","","2.1","","-2.9","","70","","0.0","","30","","54","","","","101.12","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 16:00","2025","12","01","16:00","","1.6","","-3.6","","69","","0.0","","30","","54","","","","101.30","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 17:00","2025","12","01","17:00","","0.7","","-4.9","","66","","0.0","","31","","52","","","","101.49","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 18:00","2025","12","01","18:00","","-0.2","","-5.2","","69","","0.0","","30","","52","","","","101.68","","","","-9","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 19:00","2025","12","01","19:00","","-0.6","","-6.5","","65","","0.0","","31","","52","","","","101.82","","","","-9","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 20:00","2025","12","01","20:00","","-1.5","","-6.9","","67","","0.0","","30","","50","","","","101.93","","","","-10","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 21:00","2025","12","01","21:00","","-2.4","","-7.4","","68","","0.0","","31","","46","","","","102.06","","","","-11","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 22:00","2025","12","01","22:00","","-2.9","","-7.0","","73","","0.0","","29","","42","","","","102.16","","","","-11","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-01 23:00","2025","12","01","23:00","","-3.5","","-7.4","","75","","0.0","","30","","37","","","","102.21","","","","-12","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-02 00:00","2025","12","02","00:00","","-3.7","","-7.5","","74","","0.0","","31","","30","","","","102.28","","","","-11","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-02 01:00","2025","12","02","01:00","","-4.1","","-8.0","","74","","0.0","","31","","25","","","","102.24","","","","-11","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-02 02:00","2025","12","02","02:00","","-4.0","","-7.8","","75","","0.0","","29","","23","","","","102.34","","","","-11","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-02 03:00","2025","12","02","03:00","","-4.0","","-7.7","","76","","0.0","","29","","26","","","","102.38","","","","-11","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-02 04:00","2025","12","02","04:00","","-4.4","","-7.9","","76","","0.0","","28","","24","","","","102.35","","","","-11","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-02 05:00","2025","12","02","05:00","","-4.7","","-8.7","","73","","0.0","","24","","21","","","","102.35","","","","-11","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-02 06:00","2025","12","02","06:00","","-4.7","","-8.5","","74","","0.0","","26","","22","","","","102.33","","","","-12","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-02 07:00","2025","12","02","07:00","","-5.0","","-8.6","","76","","0.0","","26","","14","","","","102.32","","","","-10","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-02 08:00","2025","12","02","08:00","","-5.0","","-8.5","","77","","0.0","","27","","20","","","","102.35","","","","-12","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-12-02 09:00","2025","12","02","09:00","","-5.2","","-9.1","","74","","0.0","","24","","18","","","","102.39","","","","-11","","NA"
