"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-02-01 00:00","2025","02","01","00:00","","-9.2","","-15.0","","63","","0.0","","34","","31","","","","100.85","","","","-19","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-02-01 01:00","2025","02","01","01:00","","-9.6","","-14.7","","66","","0.0","","34","","28","","","","100.87","","","","-19","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-02-01 02:00","2025","02","01","02:00","","-9.5","","-14.6","","66","","0.0","","35","","28","","","","100.82","","","","-19","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-02-01 03:00","2025","02","01","03:00","","-9.3","","-14.2","","68","","0.0","","35","","27","","","","100.82","","","","-18","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-02-01 04:00","2025","02","01","04:00","","-9.4","","-13.8","","70","","0.0","","35","","27","","","","100.76","","","","-18","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-02-01 05:00","2025","02","01","05:00","","-9.7","","-14.6","","67","","0.0","","35","","24","","","","100.83","","","","-18","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-02-01 06:00","2025","02","01","06:00","","-9.9","","-14.4","","69","","0.0","","34","","25","","","","100.82","","","","-19","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-02-01 07:00","2025","02","01","07:00","","-10.3","","-15.0","","69","","0.0","","34","","22","","","","100.87","","","","-19","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-02-01 08:00","2025","02","01","08:00","","-10.5","","-16.1","","63","","0.0","","33","","27","","","","100.92","","","","-20","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-02-01 09:00","2025","02","01","09:00","","-10.7","","-15.7","","67","","0.0","","33","","23","","","","101.00","","","","-19","","NA"
