"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 00:00","2025","01","01","00:00","","2.3","","0.2","","86","","0.0","","21","","16","","","","101.37","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 01:00","2025","01","01","01:00","","1.4","","-0.5","","88","","0.0","","20","","14","","","","101.41","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 02:00","2025","01","01","02:00","","2.0","","0.3","","89","","0.0","","21","","14","","","","101.39","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 03:00","2025","01","01","03:00","","0.3","","-1.0","","91","","0.0","","17","","6","","","","101.35","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 04:00","2025","01","01","04:00","","-0.5","","-1.3","","94","","0.0","","19","","15","","","","101.44","","","","-5","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 05:00","2025","01","01","05:00","","0.5","","-0.7","","92","","0.0","","21","","13","","","","101.53","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 06:00","2025","01","01","06:00","","1.1","","-0.5","","89","","0.0","","24","","8","","","","101.52","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 07:00","2025","01","01","07:00","","0.5","","-0.4","","94","","0.0","","12","","7","","","","101.43","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 08:00","2025","01","01","08:00","","0.3","","-0.4","","95","","0.0","","13","","8","","","","101.38","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 09:00","2025","01","01","09:00","","0.5","","-0.2","","95","","0.0","","10","","9","","","","101.33","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 10:00","2025","01","01","10:00","","1.7","","1.1","","95","","0.0","","11","","12","","","","101.34","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 11:00","2025","01","01","11:00","","2.2","","1.4","","94","","0.0","","8","","15","","","","101.24","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 12:00","2025","01","01","12:00","","2.3","","1.3","","93","","0.0","","9","","14","","","","101.16","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 13:00","2025","01","01","13:00","","2.3","","1.1","","92","","0.0","","7","","23","","","","100.94","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 14:00","2025","01","01","14:00","","2.3","","1.5","","94","","0.0","","9","","34","","","","100.80","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 15:00","2025","01","01","15:00","","1.9","","1.5","","97","","0.0","","9","","33","","","","100.74","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 16:00","2025","01","01","16:00","","1.9","","1.4","","97","","0.0","","9","","35","","","","100.62","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 17:00","2025","01","01","17:00","","2.3","","1.6","","95","","0.0","","8","","36","","","","100.43","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 18:00","2025","01","01","18:00","","2.3","","1.5","","95","","0.0","","7","","33","","","","100.29","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 19:00","2025","01","01","19:00","","2.2","","1.3","","93","","0.0","","8","","27","","","","100.26","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 20:00","2025","01","01","20:00","","2.4","","1.2","","92","","0.0","","8","","35","","","","100.06","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 21:00","2025","01","01","21:00","","2.3","","1.2","","93","","0.0","","9","","29","","","","99.92","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 22:00","2025","01","01","22:00","","2.3","","1.5","","95","","2.4","","7","","35","","","","99.59","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-01 23:00","2025","01","01","23:00","","3.0","","2.4","","96","","1.4","","7","","39","","","","99.32","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-02 00:00","2025","01","02","00:00","","3.6","","3.1","","96","","0.2","","9","","45","","","","99.14","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-02 01:00","2025","01","02","01:00","","3.5","","3.0","","97","","0.3","","10","","41","","","","99.00","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-02 02:00","2025","01","02","02:00","","3.3","","2.8","","97","","0.0","","10","","39","","","","98.91","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-02 03:00","2025","01","02","03:00","","3.2","","2.8","","97","","0.2","","11","","33","","","","98.81","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-02 04:00","2025","01","02","04:00","","3.1","","2.8","","98","","0.0","","12","","23","","","","98.67","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-02 05:00","2025","01","02","05:00","","4.1","","3.8","","98","","0.0","","15","","15","","","","98.59","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-02 06:00","2025","01","02","06:00","","3.7","","3.5","","98","","0.0","","15","","14","","","","98.54","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-01-02 07:00","2025","01","02","07:00","","3.7","","3.4","","98","","0.0","","16","","17","","","","98.50","","","","","","NA"
