"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 00:00","2025","07","01","00:00","","19.0","","17.2","","89","","0.0","","18","","14","","","","101.06","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 01:00","2025","07","01","01:00","","19.3","","17.3","","88","","0.0","","18","","16","","","","101.01","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 02:00","2025","07","01","02:00","","20.3","","17.5","","84","","0.0","","20","","23","","","","100.99","","26","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 03:00","2025","07","01","03:00","","19.0","","16.7","","87","","0.0","","21","","21","","","","100.97","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 04:00","2025","07","01","04:00","","20.0","","17.0","","83","","0.0","","20","","25","","","","100.95","","25","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 05:00","2025","07","01","05:00","","19.9","","16.9","","83","","0.0","","20","","23","","","","100.95","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 06:00","2025","07","01","06:00","","20.2","","17.0","","82","","0.0","","20","","23","","","","100.96","","25","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 07:00","2025","07","01","07:00","","21.6","","17.5","","77","","0.0","","20","","20","","","","100.98","","27","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 08:00","2025","07","01","08:00","","20.6","","17.3","","81","","0.0","","21","","18","","","","100.97","","26","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 09:00","2025","07","01","09:00","","21.0","","17.1","","78","","0.0","","22","","17","","","","100.96","","26","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 10:00","2025","07","01","10:00","","22.3","","17.0","","72","","0.0","","21","","16","","","","100.90","","28","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 11:00","2025","07","01","11:00","","26.0","","17.8","","61","","0.0","","20","","17","","","","100.83","","32","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 12:00","2025","07","01","12:00","","26.5","","17.0","","56","","0.0","","18","","20","","","","100.76","","32","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 13:00","2025","07","01","13:00","","26.2","","17.4","","59","","0.0","","19","","20","","","","100.72","","32","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-07-01 14:00","2025","07","01","14:00","","27.4","","18.0","","56","","0.0","","19","","23","","","","100.67","","33","","","","NA"
