"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 00:00","2025","06","01","00:00","","13.1","","12.0","","93","","0.0","","15","","19","","","","99.00","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 01:00","2025","06","01","01:00","","12.1","","10.7","","91","","0.0","","15","","16","","","","99.02","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 02:00","2025","06","01","02:00","","11.2","","9.8","","91","","0.0","","13","","17","","","","99.01","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 03:00","2025","06","01","03:00","","11.5","","10.1","","91","","0.0","","14","","16","","","","99.00","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 04:00","2025","06","01","04:00","","11.4","","10.0","","92","","0.0","","15","","20","","","","99.00","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 05:00","2025","06","01","05:00","","11.3","","9.8","","91","","0.0","","16","","15","","","","99.04","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 06:00","2025","06","01","06:00","","12.5","","10.1","","85","","0.0","","15","","19","","","","99.11","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 07:00","2025","06","01","07:00","","12.6","","10.2","","86","","0.0","","15","","17","","","","99.12","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 08:00","2025","06","01","08:00","","15.2","","11.4","","78","","0.0","","17","","23","","","","99.11","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 09:00","2025","06","01","09:00","","15.1","","10.5","","74","","0.0","","18","","34","","","","99.12","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 10:00","2025","06","01","10:00","","16.6","","11.0","","69","","0.0","","19","","36","","","","99.15","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 11:00","2025","06","01","11:00","","15.2","","9.5","","68","","0.0","","18","","37","","","","99.21","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 12:00","2025","06","01","12:00","","15.3","","8.4","","63","","0.0","","20","","36","","","","99.27","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 13:00","2025","06","01","13:00","","14.7","","8.6","","67","","0.0","","19","","30","","","","99.29","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 14:00","2025","06","01","14:00","","14.7","","8.9","","68","","0.0","","20","","35","","","","99.33","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 15:00","2025","06","01","15:00","","13.6","","9.4","","76","","0.0","","22","","34","","","","99.39","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 16:00","2025","06","01","16:00","","12.7","","9.1","","79","","0.0","","21","","34","","","","99.48","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 17:00","2025","06","01","17:00","","14.0","","9.1","","72","","0.0","","21","","41","","","","99.59","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 18:00","2025","06","01","18:00","","13.8","","8.6","","71","","0.0","","21","","40","","","","99.69","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 19:00","2025","06","01","19:00","","13.5","","8.5","","72","","0.0","","21","","38","","","","99.80","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 20:00","2025","06","01","20:00","","13.0","","8.0","","72","","0.0","","21","","38","","","","99.92","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 21:00","2025","06","01","21:00","","12.7","","7.6","","71","","0.0","","20","","26","","","","100.06","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 22:00","2025","06","01","22:00","","12.3","","7.6","","73","","0.0","","20","","24","","","","100.14","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-01 23:00","2025","06","01","23:00","","12.0","","7.5","","74","","0.0","","20","","21","","","","100.20","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 00:00","2025","06","02","00:00","","12.6","","7.8","","73","","0.0","","20","","35","","","","100.24","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 01:00","2025","06","02","01:00","","12.1","","7.6","","74","","0.0","","20","","25","","","","100.29","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 02:00","2025","06","02","02:00","","11.8","","7.4","","74","","0.0","","20","","28","","","","100.36","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 03:00","2025","06","02","03:00","","11.1","","7.2","","77","","0.0","","20","","23","","","","100.41","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 04:00","2025","06","02","04:00","","10.2","","6.6","","79","","0.0","","19","","22","","","","100.48","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 05:00","2025","06","02","05:00","","10.1","","6.8","","80","","0.0","","19","","19","","","","100.54","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 06:00","2025","06","02","06:00","","10.8","","6.9","","77","","0.0","","20","","23","","","","100.63","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 07:00","2025","06","02","07:00","","11.6","","7.0","","73","","0.0","","20","","26","","","","100.69","","","","","","NA"
