"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 00:00","2025","11","01","00:00","","11.5","","9.6","","88","","0.0","","20","","22","","","","97.62","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 01:00","2025","11","01","01:00","","11.2","","9.9","","92","","0.0","","20","","22","","","","97.59","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 02:00","2025","11","01","02:00","","10.7","","9.6","","93","","0.0","","23","","43","","","","97.56","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 03:00","2025","11","01","03:00","","10.7","","7.9","","83","","0.0","","23","","49","","","","97.57","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 04:00","2025","11","01","04:00","","8.7","","6.0","","83","","0.0","","23","","58","","","","97.58","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 05:00","2025","11","01","05:00","","9.0","","6.1","","82","","0.3","","24","","60","","","","97.59","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 06:00","2025","11","01","06:00","","8.7","","6.8","","87","","0.4","","24","","58","","","","97.60","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 07:00","2025","11","01","07:00","","9.0","","6.7","","85","","0.0","","24","","59","","","","97.61","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 08:00","2025","11","01","08:00","","9.3","","6.5","","83","","0.0","","25","","55","","","","97.71","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 09:00","2025","11","01","09:00","","9.3","","6.9","","85","","0.2","","27","","56","","","","97.87","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 10:00","2025","11","01","10:00","","9.3","","5.5","","77","","0.0","","27","","67","","","","97.98","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 11:00","2025","11","01","11:00","","9.4","","5.4","","76","","0.0","","27","","61","","","","98.23","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 12:00","2025","11","01","12:00","","9.6","","4.9","","72","","0.0","","27","","58","","","","98.36","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 13:00","2025","11","01","13:00","","9.5","","5.1","","74","","0.0","","27","","57","","","","98.49","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 14:00","2025","11","01","14:00","","9.8","","4.5","","69","","0.0","","28","","57","","","","98.58","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 15:00","2025","11","01","15:00","","10.2","","4.6","","68","","0.0","","28","","56","","","","98.68","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 16:00","2025","11","01","16:00","","10.2","","4.3","","66","","0.0","","28","","54","","","","98.84","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 17:00","2025","11","01","17:00","","9.7","","5.1","","73","","0.3","","28","","58","","","","99.00","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 18:00","2025","11","01","18:00","","9.8","","5.2","","73","","0.0","","27","","60","","","","99.17","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 19:00","2025","11","01","19:00","","9.2","","4.3","","72","","0.0","","28","","64","","","","99.32","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 20:00","2025","11","01","20:00","","8.8","","4.6","","75","","0.0","","28","","58","","","","99.43","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 21:00","2025","11","01","21:00","","8.3","","4.5","","77","","0.0","","28","","61","","","","99.58","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 22:00","2025","11","01","22:00","","8.1","","4.8","","79","","0.0","","28","","58","","","","99.73","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-01 23:00","2025","11","01","23:00","","7.3","","4.1","","80","","0.0","","29","","61","","","","99.84","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 00:00","2025","11","02","00:00","","7.2","","4.4","","83","","0.0","","30","","58","","","","100.01","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 01:00","2025","11","02","01:00","","7.4","","4.0","","79","","0.0","","30","","53","","","","100.18","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 02:00","2025","11","02","02:00","","7.2","","3.5","","77","","0.0","","29","","51","","","","100.33","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 03:00","2025","11","02","03:00","","7.3","","4.1","","80","","0.0","","29","","52","","","","100.45","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 04:00","2025","11","02","04:00","","6.9","","3.6","","80","","0.0","","29","","52","","","","100.59","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 05:00","2025","11","02","05:00","","6.9","","3.8","","81","","0.0","","29","","48","","","","100.73","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 06:00","2025","11","02","06:00","","7.0","","2.3","","72","","0.0","","31","","45","","","","100.86","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 07:00","2025","11","02","07:00","","6.9","","1.3","","67","","0.0","","32","","44","","","","101.00","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 08:00","2025","11","02","08:00","","6.9","","2.1","","71","","0.0","","32","","40","","","","101.18","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 09:00","2025","11","02","09:00","","6.7","","1.6","","70","","0.0","","32","","38","","","","101.30","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 10:00","2025","11","02","10:00","","6.8","","1.4","","69","","0.0","","31","","36","","","","101.39","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 11:00","2025","11","02","11:00","","7.1","","2.1","","70","","0.0","","31","","30","","","","101.44","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 12:00","2025","11","02","12:00","","7.2","","2.1","","70","","0.0","","30","","38","","","","101.46","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 13:00","2025","11","02","13:00","","7.6","","2.0","","67","","0.0","","29","","36","","","","101.46","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 14:00","2025","11","02","14:00","","8.2","","1.6","","63","","0.0","","29","","35","","","","101.47","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 15:00","2025","11","02","15:00","","8.2","","1.5","","63","","0.0","","30","","31","","","","101.53","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 16:00","2025","11","02","16:00","","8.3","","2.1","","65","","0.0","","30","","25","","","","101.56","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 17:00","2025","11","02","17:00","","8.2","","2.0","","65","","0.0","","31","","21","","","","101.61","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 18:00","2025","11","02","18:00","","8.4","","2.6","","67","","0.0","","28","","40","","","","101.68","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 19:00","2025","11","02","19:00","","7.8","","2.6","","70","","0.0","","29","","37","","","","101.77","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 20:00","2025","11","02","20:00","","7.6","","3.0","","72","","0.0","","29","","35","","","","101.81","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 21:00","2025","11","02","21:00","","7.5","","2.7","","71","","0.0","","30","","37","","","","101.88","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 22:00","2025","11","02","22:00","","7.0","","1.9","","70","","0.0","","28","","38","","","","101.92","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-02 23:00","2025","11","02","23:00","","6.3","","1.7","","72","","0.0","","29","","40","","","","101.91","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 00:00","2025","11","03","00:00","","5.7","","0.9","","71","","0.0","","30","","36","","","","101.92","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 01:00","2025","11","03","01:00","","5.6","","0.8","","71","","0.0","","29","","32","","","","101.93","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 02:00","2025","11","03","02:00","","5.5","","0.5","","70","","0.0","","30","","29","","","","101.93","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 03:00","2025","11","03","03:00","","5.5","","0.7","","71","","0.0","","29","","30","","","","101.93","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 04:00","2025","11","03","04:00","","5.2","","0.0","","69","","0.0","","29","","30","","","","101.93","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 05:00","2025","11","03","05:00","","5.4","","0.1","","69","","0.0","","28","","29","","","","101.97","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 06:00","2025","11","03","06:00","","5.3","","-0.6","","66","","0.0","","29","","24","","","","102.00","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 07:00","2025","11","03","07:00","","5.2","","-1.3","","63","","0.0","","28","","21","","","","101.99","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 08:00","2025","11","03","08:00","","5.2","","-1.3","","63","","0.0","","26","","25","","","","102.00","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 09:00","2025","11","03","09:00","","5.2","","-2.8","","57","","0.0","","26","","22","","","","101.98","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 10:00","2025","11","03","10:00","","5.4","","-2.9","","55","","0.0","","25","","27","","","","101.97","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 11:00","2025","11","03","11:00","","5.9","","-1.4","","59","","0.0","","24","","27","","","","101.91","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 12:00","2025","11","03","12:00","","5.7","","-1.6","","59","","0.0","","23","","29","","","","101.81","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 13:00","2025","11","03","13:00","","6.2","","-1.1","","59","","0.0","","24","","26","","","","101.69","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 14:00","2025","11","03","14:00","","6.8","","-1.4","","56","","0.0","","22","","26","","","","101.58","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 15:00","2025","11","03","15:00","","7.5","","-0.8","","56","","0.0","","23","","28","","","","101.49","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 16:00","2025","11","03","16:00","","7.8","","-1.8","","51","","0.0","","20","","15","","","","101.35","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 17:00","2025","11","03","17:00","","5.5","","-1.4","","61","","0.0","","20","","12","","","","101.28","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 18:00","2025","11","03","18:00","","5.0","","-1.2","","64","","0.0","","18","","12","","","","101.24","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 19:00","2025","11","03","19:00","","5.7","","0.3","","68","","0.0","","17","","11","","","","101.18","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 20:00","2025","11","03","20:00","","6.1","","1.7","","74","","0.0","","18","","14","","","","101.07","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 21:00","2025","11","03","21:00","","6.7","","1.6","","70","","0.0","","20","","17","","","","100.94","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 22:00","2025","11","03","22:00","","7.0","","2.2","","71","","0.0","","20","","15","","","","100.83","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-03 23:00","2025","11","03","23:00","","7.2","","3.0","","74","","0.0","","19","","14","","","","100.68","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 00:00","2025","11","04","00:00","","6.6","","5.0","","89","","0.6","","18","","12","","","","100.51","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 01:00","2025","11","04","01:00","","6.5","","5.6","","94","","1.2","","17","","8","","","","100.30","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 02:00","2025","11","04","02:00","","6.4","","5.7","","95","","1.7","","18","","13","","","","100.17","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 03:00","2025","11","04","03:00","","6.2","","5.5","","96","","1.6","","19","","11","","","","100.00","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 04:00","2025","11","04","04:00","","5.9","","5.3","","96","","1.4","","17","","8","","","","99.85","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 05:00","2025","11","04","05:00","","5.9","","5.3","","96","","1.2","","18","","9","","","","99.71","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 06:00","2025","11","04","06:00","","5.8","","5.2","","96","","1.2","","17","","5","","","","99.54","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 07:00","2025","11","04","07:00","","5.5","","5.0","","97","","1.2","","19","","8","","","","99.43","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 08:00","2025","11","04","08:00","","5.5","","5.0","","96","","0.7","","21","","8","","","","99.34","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 09:00","2025","11","04","09:00","","6.2","","5.2","","93","","0.5","","26","","12","","","","99.22","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 10:00","2025","11","04","10:00","","6.6","","4.6","","87","","0.4","","32","","22","","","","99.13","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 11:00","2025","11","04","11:00","","6.7","","4.8","","88","","0.0","","31","","22","","","","99.05","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 12:00","2025","11","04","12:00","","7.1","","5.8","","91","","0.3","","30","","30","","","","98.93","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 13:00","2025","11","04","13:00","","7.6","","5.8","","88","","0.5","","32","","44","","","","98.85","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 14:00","2025","11","04","14:00","","7.9","","5.7","","86","","0.3","","31","","54","","","","98.87","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 15:00","2025","11","04","15:00","","8.4","","5.6","","83","","0.0","","31","","57","","","","98.94","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 16:00","2025","11","04","16:00","","8.5","","4.9","","78","","0.0","","30","","63","","","","98.97","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 17:00","2025","11","04","17:00","","8.0","","4.3","","78","","0.0","","30","","66","","","","99.10","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 18:00","2025","11","04","18:00","","8.1","","3.3","","72","","0.0","","31","","66","","","","99.25","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 19:00","2025","11","04","19:00","","7.9","","3.1","","72","","0.0","","30","","62","","","","99.36","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 20:00","2025","11","04","20:00","","7.9","","3.2","","72","","0.0","","30","","62","","","","99.43","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 21:00","2025","11","04","21:00","","7.8","","2.5","","69","","0.0","","30","","65","","","","99.50","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 22:00","2025","11","04","22:00","","7.6","","3.5","","75","","0.0","","30","","60","","","","99.57","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-04 23:00","2025","11","04","23:00","","7.4","","3.4","","76","","0.0","","30","","60","","","","99.63","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 00:00","2025","11","05","00:00","","7.2","","3.0","","75","","0.0","","30","","60","","","","99.67","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 01:00","2025","11","05","01:00","","7.4","","3.1","","74","","0.0","","29","","57","","","","99.75","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 02:00","2025","11","05","02:00","","7.3","","2.7","","73","","0.0","","29","","61","","","","99.82","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 03:00","2025","11","05","03:00","","7.4","","2.5","","71","","0.0","","29","","61","","","","99.90","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 04:00","2025","11","05","04:00","","7.4","","2.3","","70","","0.0","","29","","63","","","","99.97","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 05:00","2025","11","05","05:00","","7.3","","2.2","","70","","0.0","","29","","58","","","","100.09","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 06:00","2025","11","05","06:00","","7.4","","1.9","","68","","0.0","","29","","62","","","","100.12","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 07:00","2025","11","05","07:00","","7.3","","1.7","","67","","0.0","","29","","62","","","","100.20","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 08:00","2025","11","05","08:00","","7.1","","1.9","","70","","0.0","","28","","58","","","","100.32","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 09:00","2025","11","05","09:00","","7.0","","2.2","","71","","0.0","","29","","56","","","","100.37","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 10:00","2025","11","05","10:00","","6.9","","1.6","","69","","0.0","","28","","54","","","","100.40","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 11:00","2025","11","05","11:00","","7.2","","1.4","","67","","0.0","","28","","52","","","","100.43","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 12:00","2025","11","05","12:00","","7.8","","1.1","","63","","0.0","","28","","50","","","","100.41","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 13:00","2025","11","05","13:00","","8.5","","2.0","","63","","0.0","","27","","43","","","","100.42","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 14:00","2025","11","05","14:00","","8.7","","1.1","","59","","0.0","","27","","42","","","","100.39","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 15:00","2025","11","05","15:00","","9.0","","0.8","","56","","0.0","","27","","40","","","","100.36","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 16:00","2025","11","05","16:00","","9.0","","0.7","","56","","0.0","","27","","34","","","","100.34","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 17:00","2025","11","05","17:00","","9.0","","1.1","","58","","0.0","","27","","33","","","","100.34","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 18:00","2025","11","05","18:00","","9.0","","0.9","","57","","0.0","","27","","35","","","","100.31","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 19:00","2025","11","05","19:00","","8.7","","1.2","","59","","0.0","","26","","30","","","","100.28","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 20:00","2025","11","05","20:00","","8.5","","2.1","","64","","0.0","","26","","32","","","","100.23","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 21:00","2025","11","05","21:00","","8.1","","2.3","","67","","0.0","","25","","38","","","","100.20","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 22:00","2025","11","05","22:00","","8.1","","1.6","","64","","0.0","","26","","38","","","","100.15","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-05 23:00","2025","11","05","23:00","","8.0","","1.2","","62","","0.0","","26","","32","","","","100.08","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-06 00:00","2025","11","06","00:00","","7.8","","1.4","","64","","0.0","","24","","34","","","","100.03","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-06 01:00","2025","11","06","01:00","","6.3","","2.1","","75","","0.0","","24","","34","","","","99.96","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-06 02:00","2025","11","06","02:00","","4.1","","1.8","","85","","0.0","","20","","12","","","","99.86","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-06 03:00","2025","11","06","03:00","","3.6","","1.7","","87","","0.0","","20","","12","","","","99.74","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-06 04:00","2025","11","06","04:00","","3.2","","1.4","","88","","0.0","","19","","8","","","","99.57","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-06 05:00","2025","11","06","05:00","","3.6","","1.8","","88","","0.0","","18","","3","","","","99.42","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-11-06 06:00","2025","11","06","06:00","","5.4","","2.5","","81","","0.0","","1","","5","","","","99.35","","","","","","NA"
