"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 00:00","2025","10","01","00:00","","12.2","","8.0","","75","","0.0","","31","","12","","","","101.86","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 01:00","2025","10","01","01:00","","12.5","","8.2","","75","","0.0","","32","","17","","","","101.84","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 02:00","2025","10","01","02:00","","12.4","","6.6","","68","","0.0","","34","","21","","","","101.79","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 03:00","2025","10","01","03:00","","12.3","","7.3","","71","","0.0","","34","","27","","","","101.78","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 04:00","2025","10","01","04:00","","11.8","","6.9","","72","","0.0","","36","","25","","","","101.78","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 05:00","2025","10","01","05:00","","11.7","","7.7","","76","","0.0","","1","","20","","","","101.82","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 06:00","2025","10","01","06:00","","11.3","","7.6","","78","","0.0","","36","","21","","","","101.84","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 07:00","2025","10","01","07:00","","11.2","","8.1","","81","","0.0","","36","","23","","","","101.86","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 08:00","2025","10","01","08:00","","11.7","","8.3","","80","","0.0","","1","","25","","","","101.89","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 09:00","2025","10","01","09:00","","11.4","","8.6","","82","","0.0","","1","","33","","","","101.93","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 10:00","2025","10","01","10:00","","11.7","","8.9","","83","","0.0","","2","","36","","","","101.97","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 11:00","2025","10","01","11:00","","11.4","","8.4","","82","","0.0","","1","","42","","","","101.99","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 12:00","2025","10","01","12:00","","11.1","","7.4","","78","","0.0","","1","","37","","","","102.03","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 13:00","2025","10","01","13:00","","10.9","","7.3","","79","","0.0","","1","","37","","","","102.04","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 14:00","2025","10","01","14:00","","10.0","","5.7","","75","","0.0","","6","","36","","","","102.11","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 15:00","2025","10","01","15:00","","10.6","","6.5","","76","","0.0","","2","","45","","","","102.12","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 16:00","2025","10","01","16:00","","10.0","","6.7","","80","","0.4","","1","","21","","","","102.18","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 17:00","2025","10","01","17:00","","10.7","","7.1","","79","","0.0","","2","","39","","","","102.19","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 18:00","2025","10","01","18:00","","10.5","","7.2","","80","","0.0","","2","","38","","","","102.24","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 19:00","2025","10","01","19:00","","10.2","","6.7","","78","","0.0","","2","","34","","","","102.31","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 20:00","2025","10","01","20:00","","10.2","","6.1","","76","","0.0","","2","","36","","","","102.37","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 21:00","2025","10","01","21:00","","10.4","","5.1","","70","","0.0","","2","","38","","","","102.41","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 22:00","2025","10","01","22:00","","10.6","","5.1","","69","","0.0","","2","","35","","","","102.43","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-01 23:00","2025","10","01","23:00","","10.3","","4.4","","67","","0.0","","1","","34","","","","102.45","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 00:00","2025","10","02","00:00","","10.3","","4.9","","69","","0.0","","1","","31","","","","102.46","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 01:00","2025","10","02","01:00","","10.5","","4.8","","68","","0.0","","1","","30","","","","102.46","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 02:00","2025","10","02","02:00","","10.7","","4.4","","65","","0.0","","36","","33","","","","102.47","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 03:00","2025","10","02","03:00","","10.5","","4.5","","66","","0.0","","36","","34","","","","102.51","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 04:00","2025","10","02","04:00","","10.6","","5.8","","72","","0.0","","36","","32","","","","102.52","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 05:00","2025","10","02","05:00","","10.7","","6.4","","75","","0.0","","36","","33","","","","102.58","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 06:00","2025","10","02","06:00","","10.4","","6.3","","76","","0.0","","36","","32","","","","102.65","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 07:00","2025","10","02","07:00","","10.3","","6.0","","75","","0.0","","1","","30","","","","102.68","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 08:00","2025","10","02","08:00","","10.5","","6.4","","75","","0.0","","36","","28","","","","102.77","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 09:00","2025","10","02","09:00","","10.7","","6.2","","74","","0.0","","1","","26","","","","102.79","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 10:00","2025","10","02","10:00","","11.1","","5.8","","70","","0.0","","36","","22","","","","102.84","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 11:00","2025","10","02","11:00","","11.2","","5.9","","70","","0.0","","35","","20","","","","102.82","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 12:00","2025","10","02","12:00","","11.4","","4.8","","64","","0.0","","33","","19","","","","102.82","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-10-02 13:00","2025","10","02","13:00","","11.2","","4.3","","63","","0.0","","32","","18","","","","102.77","","","","","","NA"
