"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 00:00","2025","09","01","00:00","","18.7","","16.0","","84","","0.0","","31","","17","","","","102.03","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 01:00","2025","09","01","01:00","","18.4","","16.8","","90","","0.0","","30","","11","","","","102.07","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 02:00","2025","09","01","02:00","","18.5","","16.2","","87","","0.0","","32","","19","","","","102.10","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 03:00","2025","09","01","03:00","","18.3","","16.2","","88","","0.0","","33","","18","","","","102.15","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 04:00","2025","09","01","04:00","","18.4","","15.0","","81","","0.0","","35","","20","","","","102.19","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 05:00","2025","09","01","05:00","","18.3","","13.3","","73","","0.0","","36","","24","","","","102.25","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 06:00","2025","09","01","06:00","","18.0","","13.9","","77","","0.0","","1","","24","","","","102.33","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 07:00","2025","09","01","07:00","","18.1","","14.0","","77","","0.0","","1","","24","","","","102.37","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 08:00","2025","09","01","08:00","","18.2","","14.3","","78","","0.0","","2","","21","","","","102.42","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 09:00","2025","09","01","09:00","","18.5","","13.9","","75","","0.0","","3","","22","","","","102.48","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 10:00","2025","09","01","10:00","","18.1","","13.8","","76","","0.0","","2","","24","","","","102.50","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 11:00","2025","09","01","11:00","","18.9","","13.4","","70","","0.0","","2","","17","","","","102.54","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 12:00","2025","09","01","12:00","","19.0","","13.1","","69","","0.0","","1","","17","","","","102.54","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 13:00","2025","09","01","13:00","","19.0","","11.8","","63","","0.0","","2","","12","","","","102.55","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 14:00","2025","09","01","14:00","","19.5","","11.9","","61","","0.0","","3","","10","","","","102.55","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 15:00","2025","09","01","15:00","","19.3","","11.1","","59","","0.0","","3","","8","","","","102.52","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 16:00","2025","09","01","16:00","","19.0","","10.1","","56","","0.0","","5","","7","","","","102.49","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 17:00","2025","09","01","17:00","","18.9","","10.8","","59","","0.0","","9","","6","","","","102.46","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 18:00","2025","09","01","18:00","","17.9","","10.1","","60","","0.0","","12","","7","","","","102.43","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 19:00","2025","09","01","19:00","","16.7","","10.2","","66","","0.0","","12","","7","","","","102.41","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 20:00","2025","09","01","20:00","","16.2","","9.8","","66","","0.0","","14","","8","","","","102.40","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 21:00","2025","09","01","21:00","","14.3","","9.5","","73","","0.0","","17","","8","","","","102.39","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 22:00","2025","09","01","22:00","","13.9","","10.0","","78","","0.0","","17","","10","","","","102.34","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-01 23:00","2025","09","01","23:00","","15.6","","10.4","","71","","0.0","","16","","11","","","","102.31","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 00:00","2025","09","02","00:00","","14.7","","10.9","","78","","0.0","","17","","12","","","","102.27","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 01:00","2025","09","02","01:00","","14.4","","11.1","","81","","0.0","","17","","13","","","","102.25","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 02:00","2025","09","02","02:00","","13.7","","9.1","","73","","0.0","","17","","13","","","","102.24","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 03:00","2025","09","02","03:00","","14.8","","11.8","","82","","0.0","","20","","10","","","","102.24","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 04:00","2025","09","02","04:00","","15.5","","13.5","","88","","0.0","","21","","11","","","","102.18","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 05:00","2025","09","02","05:00","","14.3","","11.7","","85","","0.0","","20","","12","","","","102.18","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 06:00","2025","09","02","06:00","","16.0","","13.0","","82","","0.0","","21","","13","","","","102.16","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 07:00","2025","09","02","07:00","","17.7","","15.1","","85","","0.0","","22","","14","","","","102.17","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 08:00","2025","09","02","08:00","","18.4","","15.3","","82","","0.0","","23","","20","","","","102.15","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 09:00","2025","09","02","09:00","","18.8","","14.8","","77","","0.0","","23","","23","","","","102.13","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 10:00","2025","09","02","10:00","","19.1","","14.8","","76","","0.0","","23","","20","","","","102.11","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 11:00","2025","09","02","11:00","","20.2","","15.4","","74","","0.0","","22","","17","","","","102.08","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 12:00","2025","09","02","12:00","","20.6","","15.9","","75","","0.0","","23","","13","","","","102.01","","25","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 13:00","2025","09","02","13:00","","21.0","","15.9","","72","","0.0","","27","","4","","","","101.96","","26","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 14:00","2025","09","02","14:00","","22.0","","16.8","","72","","0.0","","10","","8","","","","101.92","","27","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 15:00","2025","09","02","15:00","","22.2","","17.7","","76","","0.0","","12","","11","","","","101.84","","28","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 16:00","2025","09","02","16:00","","21.7","","17.7","","78","","0.0","","13","","17","","","","101.79","","27","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 17:00","2025","09","02","17:00","","21.6","","17.1","","76","","0.0","","13","","15","","","","101.75","","27","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 18:00","2025","09","02","18:00","","20.6","","16.5","","77","","0.0","","13","","14","","","","101.70","","26","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 19:00","2025","09","02","19:00","","19.9","","16.1","","79","","0.0","","14","","15","","","","101.69","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 20:00","2025","09","02","20:00","","19.6","","16.1","","80","","0.0","","15","","13","","","","101.67","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 21:00","2025","09","02","21:00","","19.6","","15.8","","79","","0.0","","14","","15","","","","101.64","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 22:00","2025","09","02","22:00","","19.0","","14.5","","76","","0.0","","16","","13","","","","101.60","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-02 23:00","2025","09","02","23:00","","18.9","","12.3","","66","","0.0","","16","","15","","","","101.55","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 00:00","2025","09","03","00:00","","18.7","","13.1","","70","","0.0","","15","","14","","","","101.52","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 01:00","2025","09","03","01:00","","17.8","","13.3","","75","","0.0","","16","","13","","","","101.46","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 02:00","2025","09","03","02:00","","16.8","","13.5","","81","","0.0","","17","","12","","","","101.42","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 03:00","2025","09","03","03:00","","17.6","","13.2","","75","","0.0","","19","","17","","","","101.40","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 04:00","2025","09","03","04:00","","17.6","","14.8","","84","","0.0","","21","","18","","","","101.37","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 05:00","2025","09","03","05:00","","18.2","","15.5","","84","","0.0","","23","","25","","","","101.37","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 06:00","2025","09","03","06:00","","18.3","","15.7","","85","","0.0","","24","","24","","","","101.37","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 07:00","2025","09","03","07:00","","18.6","","15.6","","83","","0.0","","25","","19","","","","101.35","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 08:00","2025","09","03","08:00","","18.8","","15.7","","82","","0.0","","24","","20","","","","101.39","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 09:00","2025","09","03","09:00","","19.0","","16.2","","84","","0.0","","23","","25","","","","101.38","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 10:00","2025","09","03","10:00","","18.8","","15.9","","84","","0.0","","24","","21","","","","101.36","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 11:00","2025","09","03","11:00","","20.2","","16.3","","79","","0.0","","23","","21","","","","101.33","","25","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 12:00","2025","09","03","12:00","","20.4","","16.0","","76","","0.0","","22","","15","","","","101.28","","25","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 13:00","2025","09","03","13:00","","23.1","","17.2","","70","","0.0","","","","0","","","","101.26","","29","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 14:00","2025","09","03","14:00","","22.4","","17.4","","73","","0.0","","8","","7","","","","101.22","","28","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 15:00","2025","09","03","15:00","","22.7","","17.9","","74","","0.0","","8","","7","","","","101.17","","29","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 16:00","2025","09","03","16:00","","22.0","","18.7","","82","","0.0","","9","","10","","","","101.10","","29","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 17:00","2025","09","03","17:00","","21.5","","17.9","","80","","0.0","","10","","11","","","","101.04","","27","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 18:00","2025","09","03","18:00","","22.4","","15.1","","64","","0.0","","14","","13","","","","101.02","","26","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 19:00","2025","09","03","19:00","","20.8","","15.6","","72","","0.0","","16","","9","","","","101.01","","25","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 20:00","2025","09","03","20:00","","20.3","","15.3","","73","","0.0","","16","","8","","","","101.05","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 21:00","2025","09","03","21:00","","19.9","","15.1","","74","","0.0","","16","","10","","","","101.04","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 22:00","2025","09","03","22:00","","20.4","","12.4","","60","","0.0","","18","","17","","","","101.03","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-03 23:00","2025","09","03","23:00","","19.7","","14.2","","70","","0.0","","21","","20","","","","101.03","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-09-04 00:00","2025","09","04","00:00","","19.5","","15.3","","77","","0.0","","22","","24","","","","101.03","","","","","","NA"
