"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 00:00","2026","02","01","00:00","","-11.0","","-13.2","","83","","0.0","","25","","9","","","","101.58","","","","-16","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 01:00","2026","02","01","01:00","","-11.9","","-14.0","","84","","0.0","","27","","10","","","","101.53","","","","-18","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 02:00","2026","02","01","02:00","","-12.4","","-14.3","","86","","0.0","","29","","12","","","","101.43","","","","-19","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 03:00","2026","02","01","03:00","","-11.9","","-13.9","","85","","0.0","","26","","9","","","","101.50","","","","-17","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 04:00","2026","02","01","04:00","","-11.9","","-13.9","","85","","0.0","","25","","7","","","","101.49","","","","-16","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 05:00","2026","02","01","05:00","","-13.4","","-14.8","","89","","0.0","","25","","6","","","","101.42","","","","-17","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 06:00","2026","02","01","06:00","","-12.7","","-14.1","","90","","0.0","","24","","7","","","","101.40","","","","-17","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 07:00","2026","02","01","07:00","","-12.9","","-14.3","","90","","0.0","","25","","7","","","","101.40","","","","-17","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 08:00","2026","02","01","08:00","","-11.0","","-12.0","","92","","0.0","","34","","6","","","","101.33","","","","-15","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 09:00","2026","02","01","09:00","","-9.3","","-10.7","","89","","0.0","","","","0","","","","101.44","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 10:00","2026","02","01","10:00","","-5.7","","-7.1","","90","","0.0","","6","","19","","","","101.36","","","","-12","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 11:00","2026","02","01","11:00","","-4.8","","-7.8","","79","","0.0","","6","","24","","","","101.30","","","","-12","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 12:00","2026","02","01","12:00","","-4.8","","-7.1","","84","","0.0","","6","","18","","","","101.17","","","","-11","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 13:00","2026","02","01","13:00","","-4.7","","-6.2","","89","","0.0","","4","","23","","","","101.07","","","","-12","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 14:00","2026","02","01","14:00","","-5.7","","-7.3","","88","","0.0","","3","","36","","","","100.98","","","","-15","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 15:00","2026","02","01","15:00","","-5.9","","-7.8","","87","","0.0","","2","","38","","","","100.97","","","","-15","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 16:00","2026","02","01","16:00","","-6.0","","-8.2","","84","","0.0","","2","","37","","","","100.94","","","","-15","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2026-02-01 17:00","2026","02","01","17:00","","-6.3","","-8.5","","84","","0.0","","2","","34","","","","100.89","","","","-15","","NA"
